news_link,news_feed
https://www.kbtx.com/2020/07/04/two-new-deaths-70-new-covid-19-cases-reported-in-brazos-county/,"Two new deaths, 70 new COVID-19 cases reported in Brazos County"
https://www.fda.gov/news-events/press-announcements/coronavirus-covid-19-update-daily-roundup-june-29-2020,"Coronavirus (COVID-19) Update: Daily Roundup June 29, 2020"
https://www.nbcnews.com/news/us-news/parents-are-opting-home-school-their-children-due-covid-19-n1232739,"Parents are opting to home-school their children due to COVID-19 pandemic, but experts say it might not be for everyone"
http://kutv.com/news/coronavirus/record-breaking-676-covid-19-cases-reported-in-utah-saturday-no-new-deaths,Record-breaking 676 COVID-19 cases reported in Utah Saturday; no new deaths
https://www.spokesman.com/stories/2020/jul/04/26-new-covid-19-cases-confirmed-in-spokane-ahead-o/,26 new COVID-19 cases confirmed in Spokane ahead of Independence Day celebrations
https://ktiv.com/2020/07/04/iowa-reports-508-additional-covid-19-cases-201-more-recoveries-and-no-new-deaths/,"Iowa reports 508 additional COVID-19 cases, 201 more recoveries and no new deaths"
https://www.washingtonpost.com/education/2020/07/04/covid-19-outbreak-reported-15-fraternity-houses-university-washington/,Covid-19 outbreak reported in 15 fraternity houses at University of Washington
https://dailygazette.com/article/2020/07/04/capital-region-covid-19-tracker-for-saturday-july-4-by-county,"Capital Region COVID-19 tracker for Saturday, July 4, by county"
https://www.theguardian.com/world/2020/jul/05/trump-claims-99-of-us-covid-19-cases-are-totally-harmless-as-infections-surge,Trump claims 99% of US Covid-19 cases are 'totally harmless' as infections surge
https://www.sciencemag.org/news/2020/07/operation-warp-speed-s-opaque-choices-covid-19-vaccines-draw-senate-scrutiny,Operation Warp Speed's opaque choices of COVID-19 vaccines draw Senate scrutiny
https://www.cnn.com/2020/07/04/health/shakell-avery-covid-19-july-fourth/index.html,A 24-year-old Covid-19 survivor is celebrating a different kind of independence this July Fourth
https://www.npr.org/2020/07/04/887239232/bar-owners-sue-texas-governor-greg-abbott-after-second-round-of-covid-19-closure,Bar Owners Sue Texas Governor Greg Abbott After Second Round Of COVID-19 Closures
http://komonews.com/news/local/second-metro-bus-driver-dies-of-covid-19-in-seattle,Second Metro bus driver dies of COVID-19 in Seattle
https://www.ky3.com/content/news/Springfield-Greene-Co-Health-Dept-announces-new-potential-COVID-19-exposures-571631241.html,Springfield-Greene Co. Health Dept. announces new potential COVID-19 exposures
https://www.cnn.com/2020/07/04/europe/lockdown-lleida-province-spain-coronavirus-outbreaks-intl/index.html,"Lockdown ordered for 200,000 in northeastern Spain due to Covid-19 outbreaks"
https://dhhr.wv.gov/News/2020/Pages/COVID-19-Daily-Update-7-2-2020---10-AM.aspx,COVID-19 Daily Update 7-2-2020 - 10 AM
https://www.desmoinesregister.com/story/news/2020/07/04/coronavirus-in-iowa-nursing-homes-cited-covid-19-spread/5376436002/,‘Something’s wrong': Inspectors watch as COVID-19 spreads in Iowa nursing home
http://kfoxtv.com/news/local/more-cases-of-drug-found-to-speed-covid-19-recovery-come-to-el-paso,More cases of drug found to speed COVID-19 recovery come to El Paso
https://www.wbtv.com/2020/07/05/popular-charlotte-brewery-closes-temporarily-after-worker-tests-positive-covid-/,Popular Charlotte brewery closes temporarily after worker tests positive for COVID-19
https://www.thelancet.com/journals/lanhae/article/PIIS2352-3026(20)30186-1/fulltext,Effects of the COVID-19 pandemic on supply and use of blood for transfusion
https://www.cidrap.umn.edu/news-perspective/2020/07/covid-19-scan-jul-01-2020,"COVID-19 Scan for Jul 01, 2020 | CIDRAP"
https://dhhr.wv.gov/News/2020/Pages/COVID-19-Daily-Update-6-30-2020---10-AM.aspx,COVID-19 Daily Update 6-30-2020 - 10 AM
http://mynews4.com/news/local/10-northern-nevada-veterans-home-residents-in-icu-after-testing-positive-for-covid-19,10 Northern Nevada Veterans Home residents test positive for COVID-19
https://www.fox35orlando.com/news/seminole-county-covid-19-hospitalizations-at-all-time-high,Seminole County COVID-19 hospitalizations at all-time high
https://www.npr.org/sections/coronavirus-live-updates/2020/07/03/887014363/u-s-surpasses-global-record-for-new-covid-19-cases-recorded-in-a-day,U.S. Surpasses Global Record For New COVID-19 Cases Recorded In A Day
https://www.foodsafetynews.com/2020/07/florida-needs-to-get-on-with-enforcement-of-covid-19-rules/,Florida needs to get on with enforcement of COVID-19 rules
https://www.cidrap.umn.edu/news-perspective/2020/07/us-daily-covid-19-cases-near-50000-19-states-pause-reopening,US daily COVID-19 cases near 50000 as 19 states pause reopening
https://www.ksat.com/news/local/2020/07/05/covid-19-cases-surpass-14500-in-san-antonio-bexar-county/,"COVID-19 cases surpass 14,500 in San Antonio, Bexar County"
https://www.npr.org/sections/health-shots/2020/07/03/886921908/drill-down-to-county-level-and-the-u-s-covid-19-outbreak-looks-even-worse,Where Are New Coronavirus Cases Growing Fast? Local Data Reveals Trends : Shots - Health News
https://www.cidrap.umn.edu/news-perspective/2020/07/scientists-weigh-covid-19-research-progress-identify-remaining-gaps,"Scientists weigh COVID-19 research progress, identify remaining gaps"
https://www.sciencemag.org/news/2020/06/just-50-americans-plan-get-covid-19-vaccine-here-s-how-win-over-rest,Just 50% of Americans plan to get a COVID-19 vaccine. Here's how to win over the rest
http://komonews.com/news/local/washington-sees-second-highest-growth-in-covid-19-cases-one-day-after-setting-record,Washington sees second-highest growth in COVID-19 cases one day after setting record
https://www.wfaa.com/article/news/politics/inside-politics/texas-politics/austin-mayor-covid-19-hospitalizations-mask-us-attorney-general-texas-restaurant-association/287-852c4da3-e7d9-4a3d-881f-93a338c2c134,"Inside Texas Politics: Austin mayor says based on current COVID-19 trajectory, city could run out of hospital beds in 2 weeks"
https://www.theguardian.com/world/2020/jul/05/local-officials-kept-in-the-dark-by-whitehall-on-covid-19-testing-data,Local officials kept in the dark by Whitehall on Covid-19 testing data
https://www.fda.gov/news-events/press-announcements/coronavirus-covid-19-update-daily-roundup-june-26-2020,"Coronavirus (COVID-19) Update: Daily Roundup June 26, 2020"
https://www.katc.com/news/lafayette-parish/broussard-priest-tests-positive-for-covid-19-recovering-off-campus,"Diocese: Broussard priest tests positive for COVID-19, recovering off-campus"
https://www.foxbusiness.com/markets/stocks-have-more-room-to-run-after-best-quarter-in-over-20-years,Stocks set to bound higher despite COVID-19 overshadowing breakout quarter
https://www.ironmountaindailynews.com/covid-19/2020/07/dickinson-county-has-11th-covid-19-case/,"Dickinson County has ninth COVID-19 case | News, Sports, Jobs"
https://www.enidnews.com/news/covid19/osdh-oklahoma-tops-500-new-covid-19-cases-for-3rd-day-in-a-week/article_c96f286c-be1e-11ea-9495-2b7f780bc53a.html,OSDH: Oklahoma tops 500 new COVID-19 cases for 3rd day in a week
https://www.fda.gov/news-events/press-announcements/coronavirus-covid-19-update-daily-roundup-june-25-2020,"Coronavirus (COVID-19) Update: Daily Roundup June 25, 2020"
https://lancasteronline.com/news/local/lancaster-county-bicycle-shops-face-inventory-shortage-brought-by-covid-19-and-warmer-weather/article_b28ed154-be2a-11ea-b693-835ef0fdf2fe.html,Lancaster County bicycle shops face inventory shortage brought by COVID-19 and warmer weather
https://www.statnews.com/2020/07/01/covid-19-vaccine-from-pfizer-and-biontech-shows-positive-results/,Covid-19 vaccine from Pfizer and BioNTech shows positive results
https://apnews.com/229d099a0f763fd0ec0329f6e13c4af2,Sex workers lack food for taking HIV drugs during COVID-19
https://www.who.int/news-room/detail/29-06-2020-covidtimeline,Timeline of WHO's response to COVID-19
https://www.cbssports.com/mlb/news/braves-freddie-freeman-has-covid-19-and-it-is-going-to-be-a-while-until-he-can-join-the-team/,Braves' Freddie Freeman has COVID-19 and it is 'going to be a while' until he can join the team
https://www.fda.gov/news-events/press-announcements/coronavirus-covid-19-update-daily-roundup-june-24-2020,"Coronavirus (COVID-19) Update: Daily Roundup June 24, 2020"
http://ktxs.com/news/local/taylor-county-8-new-cases-of-covid-19-494-total-181-active-23-hospitalized,"Taylor County: 8 new cases of COVID-19; 494 total, 181 active, 23 hospitalized"
https://www.live5news.com/2020/07/04/sc-sets-new-record-number-covid-cases-reported-single-day/,"New daily record: S.C. confirms more than 1,800 new COVID-19 cases Saturday"
https://www.fda.gov/news-events/press-announcements/coronavirus-covid-19-update-daily-roundup-june-23-2020,"Coronavirus (COVID-19) Update: Daily Roundup June 23, 2020"
https://www.medicalnewstoday.com/articles/mmr-vaccine-could-prevent-worst-symptoms-of-covid-19,MMR vaccine could prevent worst symptoms of COVID-19
https://www.npr.org/2020/07/03/886365007/on-the-brink-rural-hospitals-brace-for-new-surge-in-covid-19-cases,"On The Brink, Rural Hospitals Brace For New Surge In COVID-19 Cases"
https://mtstandard.com/sports/college/frontier-conference/montana-tech/recent-butte-silver-bow-positive-covid-19-case-belongs-to-montana-tech-football-player/article_c736dc55-86f8-51d5-8737-c7484b62e353.html,Recent Butte-Silver Bow positive COVID-19 case belongs to Montana Tech football player
https://www.theguardian.com/us-news/2020/jul/04/kimberly-guilfoyle-donald-trump-jrs-girlfriend-tests-positive-for-covid-19,"Kimberly Guilfoyle, Donald Trump Jr's girlfriend, tests positive for Covid-19"
https://www.tampabay.com/sports/rays/2020/07/04/mlb-needs-to-address-covid-19-disclosure-rules-that-have-rays-others-in-a-bad-spot/,"MLB, union need to address COVID-19 disclosure rules that put Rays, others in jam"
https://www.cbssports.com/nfl/news/nfl-sends-teams-covid-19-protocols-for-training-camp-including-interaction-with-players-who-test/,"NFL sends teams COVID-19 protocols for training camp, including interaction with players who test positive"
https://www.bbc.com/news/uk-53221435,Coronavirus: Why disabled people are calling for a Covid-19 inquiry
https://www.cnn.com/2020/07/03/politics/donald-trump-coronavirus-texas-arizona-florida/index.html,Rocketing Covid-19 infections expose Trump's callous claim pandemic is 'handled'
https://hbr.org/2020/06/how-one-boston-hospital-built-a-covid-19-forecasting-system,How One Boston Hospital Built a Covid-19 Forecasting System
https://www.fda.gov/news-events/press-announcements/coronavirus-covid-19-update-daily-roundup-june-19-2020,"Coronavirus (COVID-19) Update: Daily Roundup June 19, 2020"
https://www.statnews.com/2020/07/02/trial-of-moderna-covid-19-vaccine-delayed-investigators-say-but-july-start-still-possible/,"Moderna Covid-19 vaccine trial delayed, but July start still possible"
https://nonpareilonline.com/business/investment/personal-finance/how-a-covid-19-second-wave-could-affect-your-retirement/article_9fcea7ed-0170-5afd-b8e1-6b8adccb5681.html,How a COVID-19 Second Wave Could Affect Your Retirement
https://www.npr.org/sections/goatsandsoda/2020/07/02/885207834/covid-19-exploits-cracks-in-chilean-society,Social Divisions Drive Astronomical COVID-19 Rate In Chile : Goats and Soda
